Name,Headline,Location,Company,Company_Months,Work_Months,Laidoff
Diane Randolph,Data Scientist,Virginia,Meta,211,229,False
Steven Montgomery,Software Engineer ,Alabama,Meta,175,347,False
Amanda Hess,Data Engineer,Arkansas,Meta,220,357,False
Corey Barrett,Software Engineer ,Delaware,Meta,133,210,False
Dean Baker,Software Engineer ,Wyoming,Meta,64,215,False
Victoria Salazar,Product Manager,Massachusetts,Meta,96,339,False
Brittany Henderson,Data Scientist ,Alaska,Meta,188,313,False
Christine Mahoney,Data Engineer,Wyoming,Meta,65,194,False
Jake Schneider,Software Engineer ,New Hampshire,Meta,85,318,False
Christy Edwards,Project Manager ,Nebraska,Meta,69,123,False
Rhonda Bernard,3D Artist,Alabama,Meta,26,276,False
Stephen May,Associate General Counsel Data Protection,Rhode Island,Meta,57,149,False
Sarah Brooks,Data Analyst,New York,Meta,9,341,True
Brenda Ward,Program Manager,Maryland,Meta,175,352,False
Kathryn Chan,Project Manager ,Virginia,Meta,12,148,True
Sarah Gonzalez,Machine Learning Engineer,New York,Meta,190,264,False
Rodney Logan,Data Scientist ,Pennsylvania,Meta,152,240,False
Sara Dorsey,Product Manager,Wyoming,Meta,218,223,False
Sarah Thomas DDS,Data Engineer,Hawaii,Meta,112,282,False
David Porter,Program Manager,Delaware,Meta,47,68,True
Samantha Blankenship,Product Manager,Hawaii,Meta,180,297,False
Timothy Rodriguez,Associate General Counsel Data Protection,Pennsylvania,Meta,74,220,False
Rebecca Wallace,Software Engineer ,New York,Meta,152,197,False
Christian Norton,Machine Learning Engineer,Louisiana,Meta,224,349,False
Grace Beltran,Machine Learning Engineer,Connecticut,Meta,53,235,False
Matthew Estrada,Data Analyst,New York,Meta,143,328,False
Bruce Shelton,Data Scientist ,Montana,Meta,112,301,False
Stacy Collins,Program Manager,Delaware,Meta,169,241,False
Kimberly Mcguire,Program Manager,Utah,Meta,194,216,False
Michael Jones,Associate General Counsel Data Protection,New Hampshire,Meta,3,217,True
Richard Burke,Machine Learning Engineer,Nevada,Meta,2,74,True
Andrew Johnson,Machine Learning Engineer,Wisconsin,Meta,52,267,False
Benjamin Martinez,Machine Learning Engineer,Georgia,Meta,78,126,False
Christopher Joseph,Software Engineer ,New Mexico,Meta,1,43,True
Nancy Davis,Product Manager,Maryland,Meta,40,43,True
Gregory Nash,Software Engineer ,Missouri,Meta,186,229,False
Grace Rogers,Data Engineer,Indiana,Meta,54,241,False
James Abbott,Machine Learning Engineer,Rhode Island,Meta,67,158,False
Zachary Reynolds,Program Manager,Oklahoma,Meta,6,32,True
Tracy Lewis,Project Manager ,Washington,Meta,196,227,False
Carrie Walker,Program Manager,Oregon,Meta,12,194,True
Mariah Becker,Product Manager,Vermont,Meta,130,143,False
Kayla Sparks,Data Engineer,Colorado,Meta,60,269,False
Kathryn Leonard,3D Artist,Arizona,Meta,137,175,False
Gloria Acosta,Data Scientist,Montana,Meta,133,203,False
Jessica Eaton,Data Engineer,New Mexico,Meta,77,82,False
Dawn Mcintosh,Software Engineer ,Minnesota,Meta,208,292,False
Sara Martin,Software Engineer ,Washington,Meta,188,219,False
Aimee Whitney,Machine Learning Engineer,New Hampshire,Meta,219,226,False
Melissa Pierce,Machine Learning Engineer,New Hampshire,Meta,236,302,False
Amy Ruiz,Data Analyst,Massachusetts,Meta,161,335,False
Annette Garcia,Data Engineer,North Carolina,Meta,204,286,False
Loretta Woods,Product Manager,Massachusetts,Meta,45,82,True
Stephanie Smith,Data Analyst,New Hampshire,Meta,176,260,False
Meagan Knight,Product Manager,Kentucky,Meta,16,68,True
Larry Norton,3D Artist,Wisconsin,Meta,198,287,False
Michelle Peters,Data Analyst,Idaho,Meta,29,304,False
Angelica Clark,Product Manager,Kentucky,Meta,236,253,False
Anthony Perez,3D Artist,Pennsylvania,Meta,6,243,True
Tyler Gordon,Data Analyst,Washington,Meta,208,346,False
Michael Gilbert,Associate General Counsel Data Protection,Mississippi,Meta,158,303,False
Courtney Burke,Data Analyst,Utah,Meta,210,217,False
Russell Mason,Software Engineer ,Nebraska,Meta,18,260,True
Brittany Murray,Data Analyst,Maryland,Meta,87,94,False
Christopher Lyons,Data Scientist ,Iowa,Meta,30,213,False
Maria Holland,Data Scientist,Pennsylvania,Meta,29,72,True
Daniel Glenn,Data Scientist ,Indiana,Meta,227,282,False
Nicholas Lee,Data Scientist ,Pennsylvania,Meta,233,238,False
Lindsay Lowe,3D Artist,Delaware,Meta,51,242,False
Crystal Fisher,Data Engineer,Louisiana,Meta,181,286,False
Paula Campbell,Program Manager,Illinois,Meta,163,240,False
Michael Rhodes,Data Engineer,Hawaii,Meta,166,348,False
Monique Martin,Program Manager,North Carolina,Meta,5,304,True
Richard Smith,Data Analyst,Arizona,Meta,140,169,False
Ryan Morse,Data Engineer,Maine,Meta,77,255,False
Kathleen Andrews,Data Scientist ,New Jersey,Meta,233,284,False
David Ford,Product Manager,Alabama,Meta,171,322,False
Benjamin Dunlap DVM,Software Engineer ,Maryland,Meta,116,241,False
Natalie Mahoney,Associate General Counsel Data Protection,Kentucky,Meta,90,133,False
Erica Crawford,Product Manager,Maine,Meta,115,230,False
Frank Parrish,Data Scientist ,Georgia,Meta,105,193,False
David Dean,Data Engineer,Iowa,Meta,96,160,False
Thomas Lewis,Data Scientist ,District of Columbia,Meta,115,329,False
Katrina Lee,Program Manager,Georgia,Meta,59,186,False
Michelle Johnson,Data Scientist ,Iowa,Meta,52,62,False
Benjamin Carroll,Data Analyst,Delaware,Meta,108,139,False
Pamela Bond,Data Engineer,Kansas,Meta,10,113,True
Shelby Lopez,Associate General Counsel Data Protection,Washington,Meta,135,293,False
Anthony Rodriguez,Program Manager,Kentucky,Meta,68,214,False
Richard Taylor,Program Manager,South Carolina,Meta,141,214,False
Shannon Gray,Data Scientist,Missouri,Meta,75,288,False
Edward Bentley,Program Manager,North Dakota,Meta,54,224,False
Kimberly Campbell,Associate General Counsel Data Protection,Texas,Meta,135,272,False
Tony Bishop,Data Scientist ,Colorado,Meta,165,352,False
Jacqueline Watson,Data Scientist ,Ohio,Meta,9,27,True
Tina Duncan,Data Engineer,Arkansas,Meta,107,128,False
Roger Reed,Associate General Counsel Data Protection,Oklahoma,Meta,68,82,False
Christine Atkins,Data Engineer,Kentucky,Meta,21,286,False
Troy Powell,Data Scientist,South Dakota,Meta,43,319,False
Diane Baker,Data Engineer,Nevada,Meta,108,252,False
Alyssa Hayes,Data Engineer,Illinois,Meta,59,136,False
Vanessa Beard,3D Artist,Indiana,Meta,43,334,False
Bradley Benjamin,Machine Learning Engineer,Hawaii,Meta,76,232,False
Julia Turner,3D Artist,Connecticut,Meta,235,320,False
Madison Aguirre,Software Engineer ,Georgia,Meta,35,269,False
Brooke Mccall,Project Manager ,New Jersey,Meta,221,357,False
David Torres,Machine Learning Engineer,Pennsylvania,Meta,31,95,True
Erin Hernandez,Program Manager,Michigan,Meta,206,224,False
Vanessa Burns,Data Analyst,New York,Meta,167,306,False
Cynthia Soto DDS,Data Scientist,North Carolina,Meta,185,261,False
Jessica Huynh,Software Engineer ,Washington,Meta,197,222,False
Shirley Reynolds,Associate General Counsel Data Protection,Georgia,Meta,233,332,False
Christina Baxter,Data Scientist ,Virginia,Meta,70,101,False
Megan Ward,Product Manager,New York,Meta,60,89,False
Elizabeth Harmon,Program Manager,Louisiana,Meta,67,190,False
Brittany Cantu,Data Scientist,Ohio,Meta,33,282,False
Carlos Thornton,3D Artist,Illinois,Meta,189,282,False
Rachel Hill,Project Manager ,Maine,Meta,201,356,False
Justin Sosa,Product Manager,Colorado,Meta,98,166,False
Ian Fisher,Data Scientist,Ohio,Meta,39,355,False
Penny Abbott,Data Engineer,Texas,Meta,98,341,False
Michael Thompson,Project Manager ,Kansas,Meta,157,330,False
Richard Thomas,Data Scientist ,Illinois,Meta,93,97,False
Vincent Davis,Data Analyst,Hawaii,Meta,208,239,False
Tom Crosby,Machine Learning Engineer,Minnesota,Meta,229,305,False
Thomas Burns,Associate General Counsel Data Protection,Connecticut,Meta,181,219,False
Chelsey Jensen,3D Artist,Florida,Meta,84,292,False
William Brown,Associate General Counsel Data Protection,Missouri,Meta,112,340,False
Mr. Reginald West,Data Analyst,Michigan,Meta,75,145,False
Brandon Sullivan,Data Scientist,Montana,Meta,155,340,False
Mike Austin,Data Analyst,New Hampshire,Meta,31,130,True
Kyle Harper,Data Scientist ,Indiana,Meta,193,231,False
Joseph Moody DVM,Data Engineer,Hawaii,Meta,147,188,False
Carrie Boyd,Software Engineer ,Wyoming,Meta,96,272,False
Andrew Cook MD,3D Artist,Oklahoma,Meta,171,284,False
Joanne Rose,Data Scientist ,New Mexico,Meta,181,331,False
Russell Moran,Data Scientist,Nebraska,Meta,65,254,False
Jack Martin,Software Engineer ,Florida,Meta,189,298,False
Christopher Mendoza,Software Engineer ,West Virginia,Meta,97,252,False
Brandon Mann,Associate General Counsel Data Protection,New Mexico,Meta,1,155,True
Jesse Clark,Data Engineer,California,Meta,51,327,False
Cynthia Ferguson,Software Engineer ,Alaska,Meta,27,301,False
Mr. David Evans II,Program Manager,Alabama,Meta,189,248,False
Michelle Allen,Data Scientist ,Illinois,Meta,118,231,False
Anthony Phillips,Machine Learning Engineer,Delaware,Meta,63,229,False
Michael Wright,Product Manager,Pennsylvania,Meta,152,220,False
Michael Maldonado,Associate General Counsel Data Protection,Hawaii,Meta,198,285,False
Geoffrey Freeman,Machine Learning Engineer,Idaho,Meta,195,214,False
Sean Arellano Jr.,Machine Learning Engineer,Massachusetts,Meta,165,182,False
Lucas Reyes,Project Manager ,Colorado,Meta,150,355,False
Tiffany Harris,Project Manager ,South Carolina,Meta,107,227,False
Carmen Gilmore,Product Manager,Kentucky,Meta,155,315,False
Robin Holder MD,Product Manager,Alabama,Meta,9,77,True
Edward Moore,Program Manager,Florida,Meta,83,296,False
Theodore Rivera,Software Engineer ,Rhode Island,Meta,128,359,False
Bobby Castaneda,Software Engineer ,Florida,Meta,222,311,False
Bradley Moore,Data Analyst,Delaware,Meta,24,293,False
Ronald Johnson,Program Manager,Kentucky,Meta,140,310,False
Stephanie Kennedy,Data Scientist ,Washington,Meta,139,355,False
Todd Williams,Project Manager ,Kansas,Meta,25,328,False
Vincent Dominguez,Product Manager,Colorado,Meta,197,318,False
Christian Mason,Data Engineer,North Dakota,Meta,142,148,False
Betty Baker,Program Manager,Louisiana,Meta,3,326,True
Brenda Byrd,Data Analyst,New York,Meta,94,328,False
Lisa Lee,Program Manager,Hawaii,Meta,133,289,False
Charles Brown,Program Manager,Connecticut,Meta,36,241,False
Paul Thompson,Data Analyst,Michigan,Meta,175,253,False
Anthony Marsh,Software Engineer ,Kansas,Meta,106,240,False
Bryan Williams,3D Artist,Washington,Meta,220,300,False
Michael Pratt,3D Artist,Washington,Meta,149,300,False
Shelia Barton,Machine Learning Engineer,Wyoming,Meta,64,263,False
Victor Marks,Project Manager ,New York,Meta,7,284,True
Jeffery Coleman,Data Analyst,Maryland,Meta,193,243,False
Derek Malone,Data Scientist ,Missouri,Meta,91,100,False
Adam Krause,Data Analyst,Nevada,Meta,106,198,False
Rachel Davies,3D Artist,Florida,Meta,196,281,False
Dominique Henderson,Data Scientist ,Oregon,Meta,34,155,True
Jason Garcia,Project Manager ,Michigan,Meta,137,188,False
Joe Steele,Data Engineer,Connecticut,Meta,34,160,True
Kyle Walker,Product Manager,Illinois,Meta,100,107,False
Sarah Zamora,Data Scientist,Indiana,Meta,60,87,False
John Gomez,Project Manager ,North Dakota,Meta,52,348,False
Jacqueline Estrada,Project Manager ,Maine,Meta,123,322,False
Kristen Ferguson,Project Manager ,Maryland,Meta,101,146,False
Ashley Dunn,Data Analyst,Ohio,Meta,95,232,False
Gavin Lawrence,Associate General Counsel Data Protection,Idaho,Meta,217,263,False
Greg Berg,Software Engineer ,Louisiana,Meta,122,180,False
Diana Gonzales,3D Artist,Alabama,Meta,22,278,False
Rebecca Potts,Product Manager,Alaska,Meta,148,295,False
Yvonne Case,Software Engineer ,Alaska,Meta,86,113,False
Steven Stevens,Software Engineer ,Kentucky,Meta,98,330,False
Sean Jacobs,Machine Learning Engineer,Indiana,Meta,239,345,False
Maria Rice,Associate General Counsel Data Protection,Maine,Meta,150,244,False
Robert Kelly,Data Scientist,Idaho,Meta,147,342,False
Kelsey Wilson,Associate General Counsel Data Protection,Oregon,Meta,36,131,True
Amanda Randolph,Project Manager ,Virginia,Meta,30,308,False
John Lane,3D Artist,Maryland,Meta,185,195,False
Danielle Taylor,Machine Learning Engineer,Illinois,Meta,43,115,False
Michelle Delgado,Data Scientist ,Oregon,Meta,32,114,True
Kylie Durham,Data Engineer,Nevada,Meta,136,351,False
Connie Torres,Product Manager,Kentucky,Meta,137,198,False
Andrew Steele,3D Artist,Delaware,Meta,24,314,False
Sarah Martin,Project Manager ,Oregon,Meta,223,354,False
Alexander Moss,Machine Learning Engineer,Iowa,Meta,56,71,False
Elizabeth Juarez,Data Scientist,Florida,Meta,25,87,True
Jason Rowe Jr.,Product Manager,Indiana,Meta,107,228,False
Johnny Guerra,Associate General Counsel Data Protection,Oregon,Meta,27,125,True
Sarah Hayes,Associate General Counsel Data Protection,Kansas,Meta,238,285,False
Thomas Jenkins,3D Artist,Kansas,Meta,216,303,False
Kari Hernandez,3D Artist,Washington,Meta,186,210,False
James Davis,Data Scientist,Tennessee,Meta,184,233,False
Natalie Cole,Data Scientist ,South Dakota,Meta,53,333,False
Jamie Kelley,Data Scientist,Connecticut,Meta,144,339,False
Sheryl Smith,Data Scientist ,Georgia,Meta,74,248,False
Mrs. Stacy Harvey DVM,3D Artist,Alabama,Meta,149,215,False
Lisa Fitzgerald,Data Scientist,Illinois,Meta,223,235,False
Tom Roman,3D Artist,Arizona,Meta,154,282,False
Matthew Garza,Data Engineer,Arkansas,Meta,98,324,False
Sharon Thompson,Machine Learning Engineer,Georgia,Meta,206,345,False
Jamie Vega,3D Artist,Mississippi,Meta,91,334,False
Amy Parks,Machine Learning Engineer,New Jersey,Meta,55,307,False
Haley White,Associate General Counsel Data Protection,Kansas,Meta,106,281,False
Charles Blake,3D Artist,Ohio,Meta,206,325,False
David Fischer,Project Manager ,South Dakota,Meta,41,271,False
Brooke May,Data Scientist ,North Carolina,Meta,80,169,False
Megan Morris,Data Scientist,South Dakota,Meta,234,265,False
Raymond Wilson,Associate General Counsel Data Protection,Missouri,Meta,239,295,False
Christopher Shelton,Data Analyst,California,Meta,34,43,True
Jack Garcia,Product Manager,South Dakota,Meta,235,302,False
David Woodward,Data Engineer,Pennsylvania,Meta,82,161,False
Daniel Hartman,Data Engineer,New York,Meta,132,307,False
Amanda Jimenez,3D Artist,Louisiana,Meta,199,332,False
Jamie Walker,Machine Learning Engineer,South Dakota,Meta,149,334,False
Brad Payne,3D Artist,Washington,Meta,188,212,False
Patricia Fields,Data Scientist,Florida,Meta,59,297,False
Joseph Lewis,3D Artist,New Jersey,Meta,80,266,False
Nicole Hurst,Software Engineer ,Kansas,Meta,52,115,False
Justin Leon,Data Analyst,Nebraska,Meta,202,285,False
Audrey Casey,Data Scientist ,Ohio,Meta,217,337,False
Juan Gardner,Product Manager,California,Meta,56,262,False
Joshua Banks,Software Engineer ,Indiana,Meta,199,315,False
Keith Wolf,3D Artist,Georgia,Meta,28,307,False
Christina King,Data Analyst,Delaware,Meta,182,251,False
Chad Miller,Machine Learning Engineer,Maine,Meta,197,220,False
Bryan Wood,Data Scientist,New York,Meta,175,214,False
Scott Savage,Data Analyst,Michigan,Meta,67,173,False
Jennifer Reilly,Data Analyst,Louisiana,Meta,155,179,False
Jennifer Estes,Software Engineer ,Oregon,Meta,128,273,False
Timothy Johnson,Data Scientist ,South Dakota,Meta,88,345,False
Marc Torres,Product Manager,Nebraska,Meta,174,323,False
Monica Leblanc,Software Engineer ,Kentucky,Meta,18,202,True
Samantha Martinez,Data Analyst,New Mexico,Meta,34,36,True
Jennifer Hernandez,Project Manager ,District of Columbia,Meta,97,180,False
Valerie Cortez,Product Manager,Connecticut,Meta,155,309,False
Katrina Lee,Program Manager,Indiana,Meta,116,296,False
Daisy Sullivan,Product Manager,Wisconsin,Meta,56,63,False
David Garza,Software Engineer ,Kentucky,Meta,191,350,False
Alex Scott,Program Manager,Hawaii,Meta,80,278,False
Amy Garcia,Machine Learning Engineer,New Hampshire,Meta,70,162,False
Abigail Brown,3D Artist,Michigan,Meta,99,314,False
Kenneth Banks,Data Analyst,Georgia,Meta,214,288,False
Linda Herrera,Data Scientist ,Montana,Meta,144,261,False
Kelsey Potts,Data Engineer,Louisiana,Meta,143,199,False
Joshua Reed,Data Scientist,New Hampshire,Meta,216,217,False
Kendra Gross,Product Manager,Montana,Meta,213,289,False
Victor Bell,3D Artist,Wyoming,Meta,219,281,False
Kristin Swanson,Data Scientist,Oregon,Meta,174,239,False
April Wright,Product Manager,Mississippi,Meta,53,337,False
Brittany Rice,Software Engineer ,New Mexico,Meta,88,236,False
Jill Olson,Data Scientist ,Arkansas,Meta,98,277,False
Bethany Mcdowell,Data Scientist ,Colorado,Meta,111,170,False
Tara Sutton,Project Manager ,Arizona,Meta,95,109,False
Lori Garcia,Product Manager,New York,Meta,226,278,False
Jeffrey Cole,Associate General Counsel Data Protection,Louisiana,Meta,45,61,True
Eric Cortez,Product Manager,Washington,Meta,193,302,False
Sarah Harper,Machine Learning Engineer,Rhode Island,Meta,110,268,False
Corey Christian,Program Manager,Massachusetts,Meta,211,221,False
Miranda Alvarez,Data Scientist ,Texas,Meta,46,262,False
Lawrence Wong,Data Scientist ,Pennsylvania,Meta,79,182,False
Alyssa Sanchez,Associate General Counsel Data Protection,Michigan,Meta,100,270,False
Adriana Smith,3D Artist,Mississippi,Meta,193,198,False
Donald Baker,Data Scientist ,North Dakota,Meta,91,146,False
Natasha Smith,Project Manager ,Utah,Meta,43,319,False
Michelle Myers,Product Manager,Pennsylvania,Meta,239,327,False
Amy Miller,Data Scientist ,Idaho,Meta,197,215,False
Kevin Bennett,Product Manager,North Carolina,Meta,93,304,False
Alexander Allen,Data Scientist,Louisiana,Meta,144,161,False
Jeffrey Phillips,Product Manager,West Virginia,Meta,190,325,False
Elizabeth Whitaker,Data Scientist,Rhode Island,Meta,125,356,False
Samantha Moore,Software Engineer ,Ohio,Meta,193,248,False
Maria Ferguson,Project Manager ,Wyoming,Meta,131,349,False
Adam Green,Product Manager,Connecticut,Meta,133,149,False
Melinda Patton,Data Engineer,District of Columbia,Meta,206,274,False
Nicole Howe,Data Engineer,Ohio,Meta,31,83,True
Christina Horton,Machine Learning Engineer,Michigan,Meta,213,311,False
Jessica Walker,Product Manager,District of Columbia,Meta,188,219,False
Amber Cook,Program Manager,Virginia,Meta,109,272,False
Sean Burns,3D Artist,Mississippi,Meta,161,211,False
Matthew Solomon,Data Engineer,Hawaii,Meta,52,57,False
John White,Data Scientist ,New Mexico,Meta,34,162,True
Nicole Moore,Program Manager,California,Meta,10,41,True
Tiffany Goodwin,Project Manager ,Maine,Meta,164,252,False
Cynthia Hartman,Data Scientist,California,Meta,189,227,False
Jeanette Woods,Data Analyst,Oklahoma,Meta,140,184,False
Michael Dean,Data Scientist,Louisiana,Meta,172,179,False
Dana Jacobs,Data Analyst,Washington,Meta,191,303,False
Rachel Miller,Data Engineer,Rhode Island,Meta,185,281,False
Paula Howard,Software Engineer ,Montana,Meta,94,246,False
Frank Holland,Data Scientist ,Ohio,Meta,44,223,False
Dominique Manning,Program Manager,Oklahoma,Meta,11,105,True
Stephen Mann,Data Scientist ,Rhode Island,Meta,50,324,False
Christopher Martin,Data Scientist,Texas,Meta,125,263,False
Mr. Cody Fischer DDS,Data Scientist ,Mississippi,Meta,62,197,False
Shannon Wood,Data Scientist,Idaho,Meta,208,348,False
Robert Russo,Machine Learning Engineer,District of Columbia,Meta,116,244,False
Melissa Smith,Data Scientist ,Texas,Meta,4,55,True
Natalie Barr,Data Scientist ,Vermont,Meta,144,339,False
Mark Newton,Data Scientist ,Wyoming,Meta,82,101,False
Raymond Garcia,Product Manager,South Dakota,Meta,173,260,False
Crystal Fields,3D Artist,Delaware,Meta,62,83,False
Shannon Perry,Software Engineer ,Arkansas,Meta,121,249,False
Joanne Black DVM,Data Scientist,Rhode Island,Meta,64,158,False
Dana Ward,Project Manager ,North Carolina,Meta,213,342,False
Tyler Patterson,Data Engineer,Wisconsin,Meta,238,322,False
Shannon Weiss,Data Analyst,South Carolina,Meta,235,295,False
Melanie Rodriguez,Project Manager ,New Hampshire,Meta,205,227,False
Kevin Ho,Data Scientist,Oklahoma,Meta,143,295,False
Patrick Morrison,Machine Learning Engineer,Nebraska,Meta,175,279,False
Steven George,3D Artist,New Hampshire,Meta,33,241,False
Omar Summers,3D Artist,Maine,Meta,199,253,False
Susan King,Data Analyst,New Mexico,Meta,153,358,False
Joseph Woods,Product Manager,New Mexico,Meta,218,275,False
Kyle Pham,Data Scientist,Florida,Meta,160,199,False
Crystal Gray,Data Scientist,District of Columbia,Meta,15,125,True
John Carroll,Associate General Counsel Data Protection,Oklahoma,Meta,14,33,True
Alexandra Ramirez,Product Manager,Oregon,Meta,144,241,False
Lisa Owens,Data Analyst,Tennessee,Meta,170,333,False
Jennifer Fowler,Data Analyst,New York,Meta,26,205,True
Carlos Adams,3D Artist,Wyoming,Meta,35,185,False
Vickie Morrison,3D Artist,South Dakota,Meta,34,153,True
Lindsey Gibson,Product Manager,Wyoming,Meta,100,235,False
Beth Dickson,Machine Learning Engineer,Michigan,Meta,161,292,False
April Burnett,Project Manager ,Missouri,Meta,68,242,False
Timothy Gomez,Program Manager,Kentucky,Meta,218,310,False
Lisa Smith,Data Scientist ,Kansas,Meta,100,158,False
Jessica Kirby,Data Engineer,Maine,Meta,65,105,False
Isaac Wright,3D Artist,California,Meta,79,157,False
Teresa Mooney,Program Manager,Tennessee,Meta,105,167,False
Jessica Chase,Data Scientist,Ohio,Meta,191,238,False
David Pacheco,Product Manager,Idaho,Meta,28,198,True
Jill Callahan,Data Analyst,Vermont,Meta,15,281,True
Jennifer Wright,Software Engineer ,Utah,Meta,164,341,False
Philip Williams,Data Analyst,District of Columbia,Meta,222,301,False
Heather Murray,Data Scientist,Illinois,Meta,218,350,False
Laura Flores,Machine Learning Engineer,Massachusetts,Meta,6,239,True
Isabella Sims,Data Scientist ,West Virginia,Meta,101,315,False
Beth Anderson,Project Manager ,Maryland,Meta,158,339,False
Nicholas Lyons,Product Manager,Alabama,Meta,209,281,False
Debra Nielsen DDS,Project Manager ,Washington,Meta,30,68,True
Anna Jenkins,Machine Learning Engineer,Kansas,Meta,103,181,False
Michael Roberts,Data Scientist,North Carolina,Meta,55,353,False
Stephen Oliver,Project Manager ,Arizona,Meta,229,293,False
Nancy Taylor,Product Manager,Oregon,Meta,69,113,False
Robert Carter,Data Analyst,Oregon,Meta,102,175,False
Dwayne Gross,Data Scientist ,Nebraska,Meta,179,259,False
Douglas Sanford,3D Artist,Idaho,Meta,179,214,False
Emily Anderson,Machine Learning Engineer,Connecticut,Meta,231,270,False
Mr. James Mendez,Associate General Counsel Data Protection,Georgia,Meta,131,244,False
Dustin Sosa,Project Manager ,Georgia,Meta,164,261,False
Linda Moore,Machine Learning Engineer,New Hampshire,Meta,80,95,False
Kimberly Galvan,Product Manager,Oklahoma,Meta,144,210,False
Cheryl Murphy,Data Scientist,Alaska,Meta,163,284,False
Mrs. Samantha Reynolds,Associate General Counsel Data Protection,Montana,Meta,222,240,False
Brian Alvarez,3D Artist,North Dakota,Meta,231,305,False
Michael Frost,Product Manager,West Virginia,Meta,125,271,False
Lisa Martinez,Product Manager,South Carolina,Meta,154,299,False
Jeffrey Martin,Project Manager ,Ohio,Meta,50,343,False
Heather Moreno,Program Manager,Oklahoma,Meta,21,317,False
Charles Hill,Data Analyst,Wisconsin,Meta,53,291,False
Lauren Ashley,Software Engineer ,Minnesota,Meta,152,170,False
Valerie Bowers,Data Scientist ,Louisiana,Meta,80,259,False
Madeline Stuart,Product Manager,Missouri,Meta,161,198,False
Gabriela Strickland,Associate General Counsel Data Protection,Nevada,Meta,31,327,False
Tiffany Clayton,Data Analyst,Indiana,Meta,179,247,False
Bridget Hale,Data Engineer,New Hampshire,Meta,81,196,False
Brandi Delacruz,Data Analyst,Washington,Meta,220,240,False
Michael Sanchez,Data Scientist ,South Carolina,Meta,106,288,False
Bob Dunlap,Associate General Counsel Data Protection,Wisconsin,Meta,152,158,False
Cindy Harris,Machine Learning Engineer,Louisiana,Meta,25,25,True
Tammy Carr,Associate General Counsel Data Protection,New Hampshire,Meta,177,333,False
Charles Hill,Data Analyst,South Dakota,Meta,217,346,False
Abigail Henderson,Data Engineer,North Dakota,Meta,202,223,False
Candace Morris,Data Scientist ,Louisiana,Meta,1,77,True
Andrew Hall,Machine Learning Engineer,North Carolina,Meta,161,329,False
Karen Flowers,Data Scientist,Kentucky,Meta,82,165,False
Pamela Pace,Software Engineer ,Kentucky,Meta,31,320,False
Christopher Brown,Data Scientist,Virginia,Meta,211,233,False
James Morgan,Data Scientist,Montana,Meta,132,166,False
Vanessa Avila,Project Manager ,New Hampshire,Meta,50,138,False
Jennifer Parker,Software Engineer ,Wisconsin,Meta,199,339,False
Erika Bass,Product Manager,South Dakota,Meta,38,44,True
Joseph Bradley,Product Manager,Oklahoma,Meta,208,300,False
Wendy Tran,Software Engineer ,Connecticut,Meta,4,256,True
Mrs. Connie Campbell,Project Manager ,Wyoming,Meta,33,205,False
Kenneth Juarez,Machine Learning Engineer,Pennsylvania,Meta,158,204,False
Linda Diaz,Data Analyst,Georgia,Meta,196,262,False
Tiffany Stewart,3D Artist,Georgia,Meta,29,113,True
Christina Rice,Project Manager ,Montana,Meta,44,266,False
Taylor Griffin,Data Scientist ,Nebraska,Meta,94,253,False
Heather Garrison,Product Manager,West Virginia,Meta,26,259,False
Laurie Sanchez,Product Manager,Utah,Meta,64,123,False
Dalton Bray,3D Artist,Montana,Meta,239,359,False
Daniel Lewis,Product Manager,New Mexico,Meta,18,168,True
Gerald Bishop,Data Scientist,Michigan,Meta,183,196,False
Christine Carr,Program Manager,Wyoming,Meta,31,337,False
Thomas Roberts,Software Engineer ,Wisconsin,Meta,101,250,False
Tracy Miranda,Project Manager ,Iowa,Meta,72,75,False
Mr. Gabriel Horn,Project Manager ,Michigan,Meta,152,164,False
Kevin Robinson,Machine Learning Engineer,South Carolina,Meta,114,319,False
Antonio Wilson,3D Artist,Louisiana,Meta,8,316,True
Nicole Alvarado,Data Analyst,Oregon,Meta,31,295,False
Elizabeth Johnson,Data Scientist ,Colorado,Meta,104,228,False
Cheryl Mcclure,3D Artist,Florida,Meta,97,181,False
Brian Thomas,Software Engineer ,Texas,Meta,210,283,False
Mrs. Jacqueline Bates DDS,Machine Learning Engineer,Minnesota,Meta,168,224,False
Tara Gamble,Data Engineer,Montana,Meta,189,307,False
Gregory Perez,Data Scientist ,Alabama,Meta,26,91,True
Amanda Mason,Data Engineer,Tennessee,Meta,224,340,False
Shawn Williams,Associate General Counsel Data Protection,Maine,Meta,108,263,False
Shaun Rose,Product Manager,Idaho,Meta,104,346,False
Darrell Horton,Data Analyst,Texas,Meta,147,233,False
Andrew Johnston,Data Engineer,Michigan,Meta,130,292,False
Katherine Clements DVM,Software Engineer ,West Virginia,Meta,131,276,False
Todd Peters,3D Artist,Missouri,Meta,214,225,False
Steve Knight,Machine Learning Engineer,Virginia,Meta,222,275,False
Savannah Thomas,Data Scientist,Illinois,Meta,60,270,False
Gregg Larson,Associate General Counsel Data Protection,Alabama,Meta,12,351,False
Charles Carter,Data Engineer,Pennsylvania,Meta,1,222,True
Nicole Garrett,Product Manager,New York,Meta,86,177,False
Yolanda Dudley,Data Scientist,Maine,Meta,161,245,False
